[     694ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_0lrpjcq._.js:2489
[     750ms] [LOG] [HMR] connected @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_0lrpjcq._.js:2489
[     809ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:4311/favicon.ico:0
[ 1032805ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1033808ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1034810ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1035814ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1036819ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1041825ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1046838ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1051849ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1056884ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1061949ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1067105ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
[ 1072237ms] [ERROR] WebSocket connection to 'ws://localhost:4311/_next/webpack-hmr?id=TYcHRio2Npm9eZtZ-kKZD' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:4311/_next/static/chunks/1f9q_next_dist_client_125g2fd._.js:13422
